year,countryname,countrycode,lifeexp,population,gdppc,health_expend,continent
2017,Afghanistan,AFG,64.047,36.2964,1.758465636,12.62081718,Asia
2017,Albania,ALB,78.495,2.873457,11.80328388,6.57848787,Europe
2017,Algeria,DZA,76.293,41.389198,13.87629464,6.53307724,Africa
2017,Angola,AGO,61.809,29.816748,6.044972035,2.79383755,Africa
2017,Antigua and Barbuda,ATG,76.519,0.095426,22.85574802,4.87493944,Americas
2017,Argentina,ARG,76.738,44.044811,18.94514402,10.23174763,Americas
2017,Armenia,ARM,74.782,2.944809,8.744731368,10.36,Asia
2017,Australia,AUS,82.49756098,24.60186,44.88801999,10.12281322,Oceania
2017,Austria,AUT,81.64146341,8.797566,45.49304535,10.38,Europe
2017,Azerbaijan,AZE,72.123,9.854033,15.92939963,4.07,Asia
2017,"Bahamas, The",BHS,75.823,0.381761,28.7052785,6.70352888,Americas
2017,Bahrain,BHR,77.038,1.494074,43.32044036,4.51235676,Asia
2017,Bangladesh,BGD,72.808,159.670593,3.634316954,2.36720181,Asia
2017,Barbados,BRB,76.057,0.286233,16.83900058,6.65253401,Americas
2017,Belarus,BLR,74.12926829,9.498264,17.19342414,5.76,Europe
2017,Belgium,BEL,81.43902439,11.375158,42.78105782,10.79855728,Europe
2017,Belize,BLZ,70.588,0.375769,7.726380697,4.61620188,Americas
2017,Benin,BEN,61.171,11.175204,2.06928528,2.66813827,Africa
2017,Bhutan,BTN,70.565,0.745568,9.246676763,3.3407371,Asia
2017,Bolivia,BOL,69.473,11.192854,6.798929349,6.4901948,Americas
2017,Bosnia and Herzegovina,BIH,77.087,3.351527,12.27460521,8.82,Europe
2017,Botswana,BWA,67.618,2.205128,16.16533839,6.62986994,Africa
2017,Brazil,BRA,75.723,207.833831,14.23601775,9.47124863,Americas
2017,Brunei Darussalam,BRN,77.374,0.424473,72.523836,2.27022862,Asia
2017,Bulgaria,BGR,74.81219512,7.075947,18.60622003,7.49,Europe
2017,Burkina Faso,BFA,60.77,19.193284,1.696234138,6.02490044,Africa
2017,Burundi,BDI,57.857,10.827024,0.6707770725,6.95275736,Africa
2017,Cabo Verde,CPV,73.004,0.537497,6.387095706,5.2683692,Africa
2017,Cambodia,KHM,69.331,16.009414,3.653641495,5.65125847,Asia
2017,Cameroon,CMR,58.575,24.566045,3.312899677,3.39752436,Africa
2017,Canada,CAN,82.4704878,36.540268,43.85242489,10.90631104,Americas
2017,Central African Republic,CAF,52.89,4.596028,0.7538248792,6.66541576,Africa
2017,Chad,TCD,53.208,15.016773,1.753771876,4.64740467,Africa
2017,Chile,CHL,79.732,18.470439,22.296837,9.090518,Americas
2017,China,CHN,76.41,1386.395,15.25399307,5.06592178,Asia
2017,Colombia,COL,74.562,48.901066,13.18620683,7.67864323,Americas
2017,Comoros,COM,63.912,0.813892,2.500569443,5.26807451,Africa
2017,"Congo, Dem. Rep.",COD,60.031,81.398764,0.8077529051,4.00057793,Africa
2017,"Congo, Rep.",COG,65.088,5.110702,5.103142821,2.52240992,Africa
2017,Costa Rica,CRI,80.03,4.949954,15.43030863,7.04522991,Americas
2017,Cote d'Ivoire,CIV,54.102,24.437469,3.564595846,3.24693036,Africa
2017,Croatia,HRV,77.82682927,4.124531,22.83494166,6.66,Europe
2017,Cyprus,CYP,80.67,1.17968,33.04754579,6.62,Asia
2017,Denmark,DNK,81.00487805,5.76498,47.2696913,10.1,Europe
2017,Dominican Republic,DOM,74.048,10.513131,14.95343649,4.49336958,Americas
2017,Ecuador,ECU,76.551,16.785361,10.4537099,7.53717899,Americas
2017,"Egypt, Arab Rep.",EGY,71.661,96.442593,10.67280022,5.34661913,Africa
2017,El Salvador,SLV,73.75,6.388122,7.246755527,8.42286873,Americas
2017,Equatorial Guinea,GNQ,57.939,1.262001,22.29894214,2.74714279,Africa
2017,Estonia,EST,77.64146341,1.317384,29.91635691,6.59727097,Europe
2017,Eswatini,SWZ,58.268,1.124753,9.567585628,6.98103714,Africa
2017,Ethiopia,ETH,65.874,106.400024,1.724482541,3.45336914,Africa
2017,Fiji,FJI,70.417,0.877459,9.379297794,3.18689561,Oceania
2017,Finland,FIN,81.42926829,5.508214,41.0180502,9.13,Europe
2017,France,FRA,82.52439024,66.865144,38.95583397,11.35469437,Europe
2017,Gabon,GAB,66.48,2.064823,16.1449353,2.78068876,Africa
2017,"Gambia, The",GMB,61.424,2.213894,1.465335551,3.35449266,Africa
2017,Georgia,GEO,73.436,3.728004,9.702168277,7.06,Asia
2017,Germany,DEU,80.9902439,82.657002,45.46202833,11.33617592,Europe
2017,Ghana,GHA,63.033,29.121471,4.051461891,3.73087549,Africa
2017,Greece,GRC,81.38780488,10.754679,24.60167323,8.13515854,Europe
2017,Grenada,GRD,73.78,0.110874,13.39690285,4.65701056,Americas
2017,Guatemala,GTM,73.654,16.914936,7.423170622,6.13563824,Americas
2017,Guinea,GIN,60.617,12.067539,2.213463585,3.91512918,Africa
2017,Guinea-Bissau,GNB,57.805,1.828146,1.576748994,7.00049543,Africa
2017,Guyana,GUY,66.766,0.775221,7.399136096,4.3191123,Americas
2017,Haiti,HTI,63.589,10.982366,1.653001342,3.8199389,Americas
2017,Honduras,HND,73.774,9.429013,4.468999058,7.00668859,Americas
2017,Hungary,HUN,76.06341463,9.787966,26.86057332,6.74,Europe
2017,Iceland,ISL,82.20487805,0.3434,47.83951903,8.26,Europe
2017,India,IND,68.803,1338.658835,6.51617262,2.94,Asia
